dest,symbol,name,address,origin,sourceAddress,coingeckoId,logo,serumV3Usdc,serumV3Usdt
sol,AKRO,Akropolis (Wormhole from Ethereum),12uHjozDVgyGWeLqQ8DMCRbig8amW5VmvZu3FdMMdcaG,eth,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,akropolis,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/G3h8NZgJozk9crme2me6sKDJuSQ12mNCtvC9NbSWqGuk/logo.png,G3h8NZgJozk9crme2me6sKDJuSQ12mNCtvC9NbSWqGuk,DvbiPxKzuXZPcmUcYDqBz1tvUrXYPsNrRAjSeuwHtmEA
sol,AXSet,Axie Infinity Shard (Wormhole from Ethereum),HysWcbHiYY9888pHbaqhwLYZQeZrcQMXKQWRqS7zcPK5,eth,0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,axie-infinity,https://etherscan.io/token/images/axieinfinityshard_32.png,,
sol,BUSDet,Binance USD (Wormhole from Ethereum),33fsBLA8djQm82RpHmE3SuVrPGtZBWNYExsEUeKX1HXX,eth,0x4fabb145d64652a948d72533023f6e7a623c7c53,binance-usd,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/33fsBLA8djQm82RpHmE3SuVrPGtZBWNYExsEUeKX1HXX/logo.png,,
sol,CREAM,Cream (Wormhole),HihxL2iM6L6P1oqoSeiixdJ3PhPYNxvSKH9A2dDqLVDH,eth,0x2ba592f78db6436527729929aaf6c908497cb200,cream,,4pdQ2D4gehMhGu4z9jeQbEPUFbTxB5qcPr3zCynjJGyp,6fspxMfBmYFTGFBDN5MU33A55i2MkGr7eSjBLPCAU6y9
sol,DAI,DAI (Wormhole),EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o,eth,0x6b175474e89094c44da98b954eedeac495271d0f,dai,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG/logo.png,,
sol,DYDX,dYdX (Wormhole),4Hx6Bj56eGyw8EJrrheM6LBQAvVYRikYCWsALeTrwyRU,eth,0x92d6c1e31e14520e676a687f0a93788b716beff5,dydx,https://etherscan.io/token/images/dydx2_32.png,,
sol,ETH,Ether (Wormhole),7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,eth,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs/logo.png,8Gmi2HhZmwQPVdCwzS7CM66MGstMXPcTVHA7jF19cLZz,ch7kmPrtoQUSEPBggcNAvLGiMQkJagVwd3gDYfd8m7Q
sol,FRAX,Frax (Wormhole),FR87nWEUxVgerFGhZM8Y4AggKGLnaXswr1Pd8wZ4kZcp,eth,0x853d955acef822db058eb8505911ed77f175b99e,frax,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/FR87nWEUxVgerFGhZM8Y4AggKGLnaXswr1Pd8wZ4kZcp/logo.png,,
sol,FTT,FTX Token (Wormhole),EzfgjvkSwthhgHaceR3LnKXUoRkP6NUhfghdaHAj1tUv,eth,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9,ftx-token,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EzfgjvkSwthhgHaceR3LnKXUoRkP6NUhfghdaHAj1tUv/logo.png,2wteg25ch227n4Rh1CN4WNrDZXBpRBpWJ48mEC2K7f4r,BoHojHESAv4McZx9gXd1bWTZMq25JYyGz4qL1m5C3nvk
sol,FXS,Frax Share (Wormhole),6LX8BhMQ4Sy2otmAWj7Y5sKd9YTVVUgfMsBzT6B9W7ct,eth,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,frax-share,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/6LX8BhMQ4Sy2otmAWj7Y5sKd9YTVVUgfMsBzT6B9W7ct/logo.png,,
sol,GRT,Graph Token (Wormhole from Ethereum),HGsLG4PnZ28L8A4R5nPqKgZd86zUUdmfnkTRnuFJ5dAX,eth,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,the-graph,,4PD799gihM2SdM8g7PxfSWgQR8cWGNiuzmNzcL2RgpSu,5bzmeSmiCzeyDQvaSsQhEega7e2jhH39cFCkT4eqSDSx
sol,HBTC,Huobi BTC (Wormhole),7dVH61ChzgmN9BwG4PkzwRP8PbYwPJ7ZPNF2vamKT2H8,eth,0x0316eb71485b0ab14103307bf65a021042c6d380,huobi-btc,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7dVH61ChzgmN9BwG4PkzwRP8PbYwPJ7ZPNF2vamKT2H8/logo.png,,
sol,HUSD,HUSD Stablecoin (Wormhole),7VQo3HFLNH5QqGtM8eC3XQbPkJUu7nS9LeGWjerRh5Sw,eth,0xdf574c24545e5ffecb9a659c229253d4111d87e1,husd,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7VQo3HFLNH5QqGtM8eC3XQbPkJUu7nS9LeGWjerRh5Sw/logo.png,,
sol,LDO,Lido DAO (Wormhole),HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p,eth,0x5a98fcbea516cf06857215779fd812ca3bef1b32,lido-dao,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/HZRCwxP2Vq9PCpPXooayhJ2bxTpo5xfpQrwB1svh332p/logo.png,,
